,2007_IDH,2006_IDH,2005_IDH,2000_IDH,2007_Kcal,2006_Kcal,2005_Kcal,2000_Kcal
"Hong Kong, China",0.87,0.857,0.85,0.824,,,,
Hungary,0.809,0.808,0.803,0.775,3465.18,3463.01,3387.16,3381.01
Iceland,0.899,0.895,0.893,0.863,3361.9,3319.11,3309.09,3153.31
India,0.523,0.512,0.504,0.461,2351.86,2315.44,2235.12,2313.93
Indonesia,0.591,0.579,0.572,0.543,2538.42,2539.76,2527.43,2498.5
Iran,0.694,0.684,0.671,0.636,3043.61,3008.39,3075.12,3065.28
Iraq,0.558,0.557,0.552,,,,,
Ireland,0.909,0.904,0.898,0.869,3612.26,3552.36,3432.74,3724.3
Isle of Man,,,,,,,,
Israel,0.882,0.877,0.874,0.856,3527.47,3518.8,3573.01,3494.42
Italy,0.869,0.866,0.861,0.825,3645.65,3649.35,3674.63,3709.34
Jamaica,0.717,0.71,0.702,0.68,2851.57,2846.5,2844.1,2748.77
Japan,0.894,0.891,0.886,0.868,2812.14,2785.53,2820.88,2879.27
Jersey,,,,,,,,
Jordan,0.685,0.678,0.673,0.646,3015.43,2981.81,2934.84,2672.47
Kazakhstan,0.727,0.721,0.714,0.657,3490.13,3372.02,3214.41,2397.39
Kenya,0.486,0.474,0.467,0.443,2089.31,2075.13,2016.06,2047.85
Kiribati,,,,,2899.07,2895.99,2884.82,2807.44
Kosovo,,,,,,,,
Kuwait,0.756,0.755,0.752,0.754,3064.09,3043.0,3007.37,3017.51
Latvia,0.8,0.793,0.784,0.732,2962.25,3041.32,3053.77,2798.87
Lebanon,0.721,0.713,0.711,,3107.09,3084.82,3128.14,3031.97
Lesotho,0.429,0.426,0.417,0.427,2476.17,2457.83,2470.76,2417.92
Liberia,0.319,0.298,0.3,0.306,2203.79,2146.35,2140.07,2181.43
Libya,0.755,0.748,0.741,,3142.93,3141.45,3149.03,3117.99
Liechtenstein,,,,,,,,
Lithuania,0.803,0.798,0.793,0.749,3436.38,3412.62,3407.81,3348.56
Luxembourg,0.868,0.863,0.865,0.854,3681.07,3670.28,3705.24,3613.04
"Macao, China",,,,,,,,
"Macedonia, FYR",0.712,0.708,0.704,,3105.47,2974.01,2868.64,2806.25
Madagascar,0.476,0.471,0.465,0.427,2159.66,2131.54,2105.79,2084.61
Malawi,0.367,0.36,0.351,0.343,2171.62,2124.56,2084.29,2098.5
Malaysia,0.746,0.742,0.738,0.705,2923.14,2917.5,2883.28,2876.89
Maldives,0.64,0.632,0.619,0.576,2685.39,2673.75,2667.95,2517.34
Mali,0.338,0.326,0.319,0.275,2614.23,2586.29,2537.77,2334.97
Malta,0.826,0.825,0.825,0.799,3610.6,3593.79,3571.07,3459.56
Marshall Islands,,,,,,,,
Martinique,,,,,,,,
Mauritania,0.442,0.436,0.432,0.41,2841.06,2828.36,2799.25,2757.93
Mauritius,0.714,0.709,0.703,0.672,2965.39,2915.24,2927.12,2856.13
Mayotte,,,,,,,,
Mexico,0.755,0.748,0.741,0.718,3266.31,3245.19,3223.35,3171.7
"Micronesia, Fed. Sts.",0.637,0.635,0.633,,,,,
Moldova,0.638,0.637,0.631,0.586,2771.3,3008.15,2942.56,2543.54
Monaco,,,,,,,,
Mongolia,0.631,0.621,0.611,0.555,2285.34,2248.95,2226.65,2184.16
Montenegro,0.767,0.762,0.757,,2447.22,2442.76,,
Montserrat,,,,,,,,
Morocco,0.565,0.559,0.552,0.507,3236.03,3265.41,3188.62,3049.6
Mozambique,0.299,0.29,0.285,0.245,2066.59,2090.81,2054.91,1958.57
Myanmar,0.459,0.448,0.436,0.38,2464.91,2440.43,2410.19,2101.52
Namibia,0.607,0.6,0.593,0.577,2382.88,2365.73,2298.49,2274.91
Nauru,,,,,,,,
Nepal,0.437,0.432,0.424,0.398,2359.81,2333.09,2354.81,2252.38
Netherlands,0.902,0.897,0.89,0.882,3277.52,3217.65,3232.42,3214.92
Netherlands Antilles,,,,,3004.49,2955.62,2936.11,3070.73
New Caledonia,,,,,2796.7,2797.77,2772.33,2730.97
New Zealand,0.903,0.901,0.899,0.878,3159.44,3145.13,3147.23,3145.63
Ngorno-Karabakh,,,,,,,,
Nicaragua,0.577,0.571,0.566,0.533,2403.44,2396.91,2400.62,2137.33
Niger,0.273,0.269,0.265,0.229,2376.26,2296.71,2244.62,2134.1
Nigeria,0.441,0.438,0.429,,2740.8,2713.5,2668.89,2571.04
Niue,,,,,,,,
Norfolk Island,,,,,,,,
Northern Cyprus,,,,,,,,
Northern Mariana Islands,,,,,,,,
Norway,0.942,0.94,0.938,0.913,3464.18,3421.47,3480.71,3363.36
Oman,0.697,0.695,0.694,,,,,
Pakistan,0.493,0.483,0.48,0.436,2292.76,2230.73,2229.06,2316.2
Palau,0.793,0.79,0.788,0.774,,,,
Panama,0.752,0.745,0.74,0.718,2484.04,2441.98,2426.04,2195.71
Papua New Guinea,0.447,0.436,0.435,0.423,,,,
Paraguay,0.643,0.639,0.635,0.612,2634.37,2633.04,2598.31,2606.04
Peru,0.704,0.697,0.691,0.674,2457.04,2417.02,2402.69,2366.65
Philippines,0.63,0.624,0.622,0.602,2564.91,2506.66,2483.03,2406.92
Pitcairn,,,,,,,,
Poland,0.8,0.795,0.791,0.77,3420.74,3394.36,3377.45,3409.12
